Time,Symbol,Side,Entry,Exit,Qty,Net PnL,Hold,Reason
'26/08/2026, 14:32:58','XRP','BUY','1.4383','1.4323','3476.326218','-$21.86','885.0s','FibResistance(0.6%) SwingResistance(1) SwingSupport(7) | OBI(0.27) > 0.12 & Z(-0.91) < -0.72 | Regime: TRENDING_BEAR'
'26/08/2026, 14:19:22','SUI','BUY','0.7653','0.7656','6533.1295','$0.829','2056.1s','FibSupport(1.0%) FibResistance(1.0%) SwingSupport(1) | OBI(0.52) > 0.12 & Z(-0.76) < -0.48 | Regime: TRENDING_BEAR'
'26/08/2026, 14:17:30','XRP','BUY','1.4373','1.4376','3478.744869','$0.0435','436.2s','FibResistance(0.5%) SwingResistance(1) SwingSupport(7) | OBI(0.21) > 0.12 & Z(-0.83) < -0.72 | Regime: TRENDING_BEAR'
'26/08/2026, 14:09:47','BTC','BUY','78902','78937','0.06337','$1.218','2975.6s','SwingResistance(4) POCMagnet | OBI(0.26) > 0.12 & Z(-0.87) < -0.48 | Regime: TRENDING_BEAR'
'26/08/2026, 14:01:53','ETH','BUY','2455.1','2456.5','2.036577','$1.851','2173.6s','SwingSupport(3) SwingResistance(2) POCMagnet | OBI(0.86) > 0.12 & Z(-0.61) < -0.48 | Regime: TRENDING_BEAR'
'26/08/2026, 13:45:17','XRP','BUY','1.4350','1.4354','3484.320557','$0.394','860.3s','FibResistance(0.3%) SwingResistance(1) SwingSupport(7) | OBI(0.53) > 0.12 & Z(-0.77) < -0.72 | Regime: TRENDING_BEAR'
'26/08/2026, 13:24:35','ETH','BUY','2463.2','2455.1','2.02988','-$17.44','2243.5s','SwingSupport(3) SwingResistance(2) SwingResistance(2) POCMagnet | OBI(0.60) > 0.12 & Z(-0.66) < -0.48 | Regime: TRENDING_BEAR'
'26/08/2026, 13:18:35','BTC','BUY','78863','78918','0.063401','$2.487','3719.7s','SwingResistance(4) POCMagnet | OBI(0.98) > 0.10 & Z(-0.43) < -0.42 | Regime: LOW_VOLATILITY'
'26/08/2026, 12:02:21','BTC','BUY','79018','78741','0.063277','-$18.53','2866.1s','SwingResistance(4) POCMagnet | OBI(0.38) > 0.12 & Z(-0.49) < -0.48 | Regime: TRENDING_BEAR'
'26/08/2026, 11:36:57','DOGE','SELL','0.0868','0.0867','57609.659988','$1.535','987.5s','SwingResistance(1) SwingSupport(1) | OBI(-0.71) < -0.12 & Z(0.73) > 0.48 | Regime: TRENDING_BULL'
'26/08/2026, 11:36:52','SUI','SELL','0.7622','0.7621','6560.302299','-$0.541','982.2s','FibSupport(0.5%) FibResistance(0.5%) SwingResistance(1) SwingSupport(1) | OBI(-0.42) < -0.12 & Z(1.00) > 0.48 | Regime: TRENDING_BULL'
'26/08/2026, 11:33:44','ETH','BUY','2459.3','2463.2','2.033099','$6.928','3646.7s','SwingSupport(3) SwingResistance(2) SwingResistance(2) POCMagnet | OBI(0.86) > 0.12 & Z(-1.01) < -0.48 | Regime: TRENDING_BEAR'
'26/08/2026, 11:28:44','XRP','BUY','1.4374','1.4429','3478.502852','$18.13','843.8s','FibResistance(0.5%) SwingResistance(1) SwingSupport(7) | OBI(0.52) > 0.12 & Z(-0.73) < -0.72 | Regime: TRENDING_BEAR'
'26/08/2026, 11:13:15','BTC','BUY','78990','79032','0.063299','$1.658','610.2s','SwingResistance(4) POCMagnet | OBI(0.42) > 0.12 & Z(-0.48) < -0.48 | Regime: TRENDING_BEAR'
'26/08/2026, 10:32:10','BTC','BUY','78795','78951','0.063456','$8.898','6293.0s','SwingSupport(1) SwingResistance(4) POCMagnet | OBI(0.87) > 0.12 & Z(-0.89) < -0.48 | Regime: TRENDING_BEAR'
'26/08/2026, 10:16:57','ETH','BUY','2454.3','2461.4','2.037241','$13.46','5228.1s','SwingSupport(3) SwingResistance(2) POCMagnet | OBI(0.62) > 0.10 & Z(-0.47) < -0.42 | Regime: LOW_VOLATILITY'
'26/08/2026, 10:15:03','XRP','BUY','1.4456','1.4398','3458.771444','-$21.06','2183.4s','SwingResistance(1) SwingSupport(7) | OBI(0.71) > 0.12 & Z(-0.92) < -0.72 | Regime: TRENDING_BEAR'
'26/08/2026, 09:37:30','XRP','BUY','1.4417','1.4450','3468.127905','$10.44','2807.8s','FibResistance(0.8%) SwingResistance(1) SwingSupport(7) | OBI(0.49) > 0.10 & Z(-0.85) < -0.63 | Regime: LOW_VOLATILITY'
'26/08/2026, 09:26:24','SUI','SELL','0.7621','0.7651','6560.81879','-$20.88','403.0s','FibSupport(0.5%) FibResistance(0.5%) SwingResistance(1) SwingSupport(1) | OBI(-0.38) < -0.12 & Z(0.57) > 0.48 | Regime: TRENDING_BULL'
'26/08/2026, 09:17:32','SUI','SELL','0.7611','0.7603','6569.611605','$3.993','1355.6s','FibSupport(0.4%) FibResistance(0.4%) SwingResistance(1) SwingSupport(1) | OBI(-0.52) < -0.12 & Z(0.55) > 0.48 | Regime: TRENDING_BULL'
'26/08/2026, 08:48:44','ETH','BUY','2452.3','2453.7','2.038902','$1.854','1315.9s','SwingSupport(3) SwingResistance(2) POCMagnet | OBI(0.51) > 0.12 & Z(-0.71) < -0.48 | Regime: TRENDING_BEAR'
'26/08/2026, 08:46:18','BTC','BUY','78759','78806','0.063485','$1.983','2130.7s','SwingResistance(3) SwingSupport(1) SwingResistance(4) POCMagnet | OBI(0.85) > 0.12 & Z(-0.82) < -0.48 | Regime: TRENDING_BEAR'
'26/08/2026, 08:42:01','XRP','BUY','1.4392','1.4416','3474.152307','$7.337','1090.2s','FibResistance(0.6%) SwingResistance(1) SwingSupport(7) | OBI(0.21) > 0.12 & Z(-0.80) < -0.72 | Regime: TRENDING_BEAR'
'26/08/2026, 08:23:13','ETH','BUY','2452.0','2453.4','2.039152','$1.855','508.4s','SwingSupport(3) SwingResistance(2) POCMagnet | OBI(0.92) > 0.12 & Z(-0.89) < -0.48 | Regime: TRENDING_BEAR'
'26/08/2026, 04:07:38','BTC','BUY','78173','77866','0.063961','-$20.63','590.8s','SwingResistance(3) SwingSupport(1) | OBI(0.63) > 0.12 & Z(-0.80) < -0.48 | Regime: TRENDING_BEAR'
'26/08/2026, 04:07:28','ETH','BUY','2435.5','2427.3','2.052967','-$17.83','521.0s','SwingSupport(3) SwingResistance(2) | OBI(0.96) > 0.12 & Z(-0.83) < -0.48 | Regime: TRENDING_BEAR'
'26/08/2026, 03:57:05','ETH','BUY','2434.0','2435.2','2.054232','$1.465','425.5s','SwingSupport(3) SwingResistance(2) | OBI(0.43) > 0.12 & Z(-0.82) < -0.48 | Regime: TRENDING_BEAR'
'26/08/2026, 03:53:35','BTC','BUY','78182','78217','0.063953','$1.238','264.0s','SwingResistance(3) SwingSupport(1) | OBI(0.94) > 0.12 & Z(-0.69) < -0.48 | Regime: TRENDING_BEAR'
'26/08/2026, 03:49:00','BTC','BUY','78545','78152','0.063658','-$26.02','496.9s','SwingResistance(3) SwingSupport(1) | OBI(0.24) > 0.12 & Z(-1.00) < -0.48 | Regime: TRENDING_BEAR'
'26/08/2026, 03:48:27','ETH','BUY','2446.6','2434.8','2.043652','-$25.11','464.6s','SwingSupport(3) SwingResistance(2) | OBI(0.95) > 0.12 & Z(-0.72) < -0.48 | Regime: TRENDING_BEAR'
'26/08/2026, 03:39:44','BTC','BUY','78930','78545','0.063347','-$25.39','4277.8s','SwingSupport(1) SwingResistance(3) | OBI(0.40) > 0.12 & Z(-0.68) < -0.48 | Regime: TRENDING_BEAR'
